method	direction	sample1	sample2	chromosome	start_cM	end_cM	length_cM	start_bp	end_bp	marker_steps	snp_per_cM
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	13	49.46849942	69.30670142	19.83820200	47604620	73991462	8931	450.19200834
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	13	74.82330203	120.49319744	45.66989541	78122582	112353163	14987	328.15928010
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	14	2.23610000	95.60989738	93.37379746	20424912	95331071	31208	334.22652659
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	14	98.19949865	108.76959562	10.57009697	96079875	101243384	2806	265.46587113
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	15	51.00299716	105.88450432	54.88150716	38254985	89321736	20839	379.70895989
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	16	11.36830000	127.65300274	116.28470272	5632390	86842231	31181	268.14361022
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	17	1.21040000	72.81759977	71.60719978	198698	49180862	16544	231.03822034
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	17	76.39870048	112.66249418	36.26379371	53455205	75468577	8631	238.00598663
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	18	49.98230040	117.70900488	67.72670746	28570025	78015180	22946	338.80282773
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	20	0.08050000	108.21340084	108.13290084	124302	62912463	29036	268.52141924
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	21	1.50730000	62.78650165	61.27920160	15270083	48100155	16021	261.44270130
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	22	2.16320000	56.29469752	54.13149744	17278762	45158955	12384	228.77623168
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	1	2.80480000	106.30949736	103.50469742	1106112	77890207	30612	295.75469291
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	1	112.83140182	150.38809776	37.55669594	84751614	120531059	13709	365.02146042
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	1	153.75659466	207.99829960	54.24170494	144612613	195995948	18633	343.51796317
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	1	217.28029251	286.27300262	68.99271011	204006538	249210707	20525	297.49519864
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	2	23.12549949	34.75059867	11.62509918	8703902	14640349	2817	242.32051322
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	2	41.63349867	74.86280203	33.22930336	19376840	46560090	12503	376.26428290
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	2	79.52589989	215.99550247	136.46960258	50779296	208641174	54584	399.97185429
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	2	218.62349510	247.42779732	28.80430222	211981894	232686545	9244	320.92428176
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	2	252.29430199	268.83249283	16.53819084	235432571	243044147	3779	228.50141446
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	3	0.01990000	95.42080164	95.40090164	104972	71708437	32922	345.09107812
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	3	97.04939723	121.97229862	24.92290139	72228727	112408483	11660	467.84280115
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	3	124.89520311	140.33499956	15.43979645	115287554	129898512	6065	392.81605949
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	3	149.94399548	165.89850187	15.95450640	140189148	154725998	5387	337.64755022
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	3	175.88709593	223.25730324	47.37020731	170250400	197836412	10640	224.61375207
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	4	27.34290063	109.32860374	81.98570311	11469730	96407962	30118	367.35673242
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	4	123.38039875	214.54229355	91.16189480	113917686	190897284	27904	306.09280404
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	5	0.12310000	32.39670098	32.27360098	163769	16858282	8562	265.29422621
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	5	36.72080040	52.58139968	15.86059928	20620134	34597334	4656	293.55763411
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	5	61.06719971	168.30010414	107.23290443	50165147	162798089	42569	396.97703074
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	5	173.86850119	197.76420593	23.89570475	166866356	177964317	5506	230.41797923
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	6	0.68540000	24.06540066	23.38000066	298700	10744613	5964	255.08981320
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	6	29.50670123	55.19790053	25.69119930	13838858	37002182	15557	605.53809951
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	6	73.50689769	96.11160159	22.60470390	52094056	90660319	11760	520.24569976
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	6	98.03270102	184.77599621	86.74329519	91642307	166951139	31203	359.71656288
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	7	0.02630000	105.85500002	105.82870002	53998	91148800	34888	329.66482621
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	7	108.25250149	139.26500082	31.01249933	93575041	131268480	12570	405.32044403
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	7	142.46829748	180.11250496	37.64420748	134391923	155594294	8546	227.02031926
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	8	0.01090000	110.53700447	110.52610447	193585	99250244	40375	365.29831747
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	8	113.50690126	146.63310051	33.12619925	102137549	133035196	13083	394.94419215
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	8	153.52859497	168.00220013	14.47360516	137312815	146296414	4081	281.96154006
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	9	0.19860000	159.67110395	159.47250396	247174	138245834	49821	312.41122303
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	10	0.00990000	12.99919933	12.98929933	135656	6183805	3636	279.92272003
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	10	20.14539987	95.38419843	75.23879856	8572793	72431602	24803	329.65704497
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	10	98.83909822	122.77560234	23.93650413	75409967	97215006	9167	382.97154638
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	10	124.23909903	180.91529608	56.67619705	98557448	135434303	17595	310.44778788
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	11	0.02180000	47.87380099	47.85200099	219089	32204168	14777	308.80631308
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	11	56.04500175	70.89769840	14.85269666	36952421	63269895	6574	442.61322720
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	11	82.07579851	158.21709633	76.14129782	75962755	134942543	26756	351.39931636
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	12	0.24110000	48.31700027	48.07590027	225315	27726609	12471	259.40231861
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	12	56.25960231	72.08589911	15.82629681	40830583	57429975	6169	389.79428198
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	12	72.86310196	139.54750299	66.68440104	58568798	118106433	23841	357.51989416
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	13	0.54620000	67.90750027	67.36130025	19451443	72975694	20606	305.90264622
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	13	72.70839810	98.71640205	26.00800395	75881080	103247624	10721	412.21925452
trim5	nu_x_fu	ORT15_nu.1.trim5	ORT16_fu.1.trim5	13	113.82290125	125.70459843	11.88169718	109550561	115103150	2779	233.88914550
